round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,,7.105427357601002e-15,,0.341824036,1.9625872e7,1.7763568394002505e-14
2,4,,1.0658141036401503e-14,,0.038504826,48320.0,3.552713678800501e-15
3,8,,1.0658141036401503e-14,,0.089643638,91568.0,8.881784197001252e-15
4,16,,1.4210854715202004e-14,,0.168871755,178000.0,1.1102230246251565e-15
5,32,,1.199040866595169e-14,,0.37118153,209344.0,-2.220446049250313e-16
6,64,,1.5432100042289676e-14,,0.699562761,256608.0,-1.7763568394002505e-15
7,128,,1.3100631690576847e-14,,1.475847422,371296.0,1.3322676295501878e-15
8,256,,1.609823385706477e-14,,2.846492074,600672.0,-8.881784197001252e-16
9,512,,1.1657341758564144e-14,,5.713258024,1.059424e6,4.440892098500626e-16
10,1024,,1.9984014443252818e-14,,11.326284669,1.976928e6,0.0
